epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.673,2.28719,4.56795,1.39447,0.58564,0.66698,0.61896,0.27725,1.43039,34.5437,0.93914,0.000332709,0.000332709,0.000332709
2,99.8648,1.92298,2.06722,1.20567,0.70149,0.7477,0.75891,0.34869,1.37177,16.3547,0.89981,0.000652855,0.000652855,0.000652855
3,143.725,1.88012,1.52923,1.2033,0.76597,0.79243,0.83465,0.35737,1.43096,28.7064,0.95014,0.0009598,0.0009598,0.0009598
4,187.767,1.83533,1.3475,1.17901,0.80984,0.79528,0.83537,0.35992,1.41638,7.0824,0.91999,0.0009406,0.0009406,0.0009406
5,229.81,1.80957,1.23136,1.16384,0.78957,0.87428,0.89112,0.45277,1.2603,33.3053,0.87864,0.0009208,0.0009208,0.0009208
6,273.627,1.77269,1.15145,1.14696,0.93265,0.9088,0.9498,0.47245,1.30234,1.47505,0.88717,0.000901,0.000901,0.000901
7,316.588,1.76502,1.12091,1.14535,0.9315,0.88586,0.93992,0.47179,1.28964,1.38944,0.87938,0.0008812,0.0008812,0.0008812
8,360.483,1.73804,1.05396,1.1301,0.94589,0.91134,0.95179,0.48374,1.27061,2.76069,0.86896,0.0008614,0.0008614,0.0008614
9,402.734,1.71282,1.01934,1.12214,0.94769,0.93261,0.96229,0.49309,1.2752,5.53484,0.86917,0.0008416,0.0008416,0.0008416
10,463.882,1.71511,0.9895,1.12208,0.89074,0.91012,0.93713,0.46612,1.30705,17.9764,0.87779,0.0008218,0.0008218,0.0008218
11,515.857,1.70136,0.95865,1.11103,0.9606,0.93768,0.96906,0.49976,1.26068,3.97794,0.86,0.000802,0.000802,0.000802
12,559.501,1.68537,0.93828,1.1075,0.95665,0.92269,0.967,0.51104,1.24458,7.40855,0.86284,0.0007822,0.0007822,0.0007822
13,619.845,1.68779,0.92093,1.10603,0.95062,0.942,0.96624,0.49503,1.2649,2.43303,0.86118,0.0007624,0.0007624,0.0007624
14,681.43,1.67657,0.90474,1.09862,0.96362,0.9455,0.97773,0.51372,1.2492,1.62845,0.85605,0.0007426,0.0007426,0.0007426
15,723.387,1.65945,0.87585,1.09727,0.96478,0.94972,0.97202,0.51081,1.2421,3.33677,0.85461,0.0007228,0.0007228,0.0007228
16,765.64,1.64421,0.86142,1.08632,0.96763,0.94594,0.97579,0.51302,1.24855,1.13431,0.85341,0.000703,0.000703,0.000703
17,808.151,1.6412,0.84498,1.09225,0.95955,0.94743,0.97622,0.52518,1.23798,3.41536,0.84994,0.0006832,0.0006832,0.0006832
18,849.975,1.62423,0.82345,1.08598,0.96674,0.96266,0.97885,0.52887,1.21029,0.64692,0.8461,0.0006634,0.0006634,0.0006634
19,892.016,1.63581,0.81965,1.09125,0.9517,0.9578,0.97365,0.51785,1.24926,0.72615,0.856,0.0006436,0.0006436,0.0006436
20,934.179,1.61537,0.81348,1.08116,0.96908,0.95703,0.97779,0.52939,1.21828,3.22734,0.84198,0.0006238,0.0006238,0.0006238
21,981.984,1.6204,0.81129,1.08266,0.95799,0.95599,0.97736,0.53301,1.21254,2.74161,0.84197,0.000604,0.000604,0.000604
22,1023.76,1.60643,0.79829,1.07524,0.96583,0.96202,0.98065,0.53224,1.21321,1.68888,0.84022,0.0005842,0.0005842,0.0005842
23,1065.72,1.59596,0.78832,1.06865,0.964,0.9681,0.98027,0.52985,1.21378,0.6101,0.83925,0.0005644,0.0005644,0.0005644
24,1109.3,1.59206,0.77154,1.06984,0.96735,0.97169,0.98068,0.53857,1.20259,0.52431,0.83626,0.0005446,0.0005446,0.0005446
25,1155.6,1.57879,0.76593,1.0672,0.97399,0.97032,0.98097,0.54199,1.20217,0.87519,0.83767,0.0005248,0.0005248,0.0005248
26,1198.53,1.57495,0.75656,1.05662,0.97636,0.96998,0.9833,0.54308,1.20025,1.54451,0.8393,0.000505,0.000505,0.000505
27,1240.66,1.57835,0.75719,1.06297,0.97102,0.97395,0.98191,0.54994,1.19173,0.57824,0.83044,0.0004852,0.0004852,0.0004852
28,1282.8,1.57145,0.74967,1.06064,0.97066,0.97421,0.98249,0.54729,1.17571,0.52648,0.82686,0.0004654,0.0004654,0.0004654
29,1325.17,1.55869,0.73816,1.05542,0.97032,0.97428,0.9856,0.54665,1.18899,0.62634,0.82939,0.0004456,0.0004456,0.0004456
30,1367.51,1.54622,0.72973,1.05685,0.97365,0.97709,0.98542,0.551,1.18055,0.66675,0.82783,0.0004258,0.0004258,0.0004258
31,1410,1.53184,0.72618,1.04894,0.97656,0.96975,0.98606,0.55154,1.18499,0.53538,0.82954,0.000406,0.000406,0.000406
32,1452.1,1.52755,0.71634,1.05229,0.97723,0.97656,0.98447,0.55761,1.17487,0.48641,0.82886,0.0003862,0.0003862,0.0003862
33,1494.22,1.53129,0.71006,1.04923,0.96651,0.98253,0.98503,0.55571,1.17313,0.46127,0.82439,0.0003664,0.0003664,0.0003664
34,1536.59,1.52794,0.70077,1.04801,0.97782,0.97063,0.98577,0.55503,1.17285,0.76476,0.8265,0.0003466,0.0003466,0.0003466
35,1578.93,1.51723,0.70083,1.04075,0.97804,0.97621,0.98692,0.56434,1.15736,0.49451,0.81964,0.0003268,0.0003268,0.0003268
36,1621.06,1.50594,0.69,1.04234,0.96979,0.97826,0.98655,0.56757,1.16283,0.47865,0.82132,0.000307,0.000307,0.000307
37,1667.33,1.49647,0.67963,1.03557,0.97553,0.97773,0.98751,0.56621,1.15991,0.48292,0.81877,0.0002872,0.0002872,0.0002872
38,1712.51,1.49491,0.6834,1.04076,0.97636,0.97776,0.9866,0.56658,1.16676,0.47545,0.82189,0.0002674,0.0002674,0.0002674
39,1755.84,1.48308,0.66945,1.03374,0.97418,0.97919,0.98723,0.56277,1.15869,0.47498,0.81686,0.0002476,0.0002476,0.0002476
40,1798,1.47994,0.66806,1.03347,0.9768,0.97939,0.98688,0.57078,1.15061,0.45231,0.81616,0.0002278,0.0002278,0.0002278
41,1858.08,1.46899,0.62608,1.06638,0.97316,0.97803,0.98379,0.56393,1.15581,0.47357,0.81685,0.000208,0.000208,0.000208
42,1899.77,1.46627,0.62006,1.07099,0.97545,0.98151,0.98766,0.5727,1.14277,0.43919,0.81363,0.0001882,0.0001882,0.0001882
43,1941.38,1.44748,0.61461,1.06403,0.97698,0.98,0.98731,0.57209,1.14099,0.44579,0.81441,0.0001684,0.0001684,0.0001684
44,1982.8,1.44082,0.60465,1.06112,0.97782,0.98081,0.98806,0.57565,1.14094,0.43786,0.8145,0.0001486,0.0001486,0.0001486
45,2024.52,1.43145,0.59537,1.05566,0.9775,0.98243,0.98858,0.57762,1.13908,0.43378,0.81225,0.0001288,0.0001288,0.0001288
46,2066.3,1.41974,0.58568,1.04965,0.97886,0.97722,0.98803,0.58104,1.1384,0.43373,0.81326,0.000109,0.000109,0.000109
47,2107.78,1.41017,0.58879,1.05392,0.97616,0.97869,0.98767,0.58087,1.13637,0.43218,0.81095,8.92e-05,8.92e-05,8.92e-05
48,2160.06,1.40268,0.58331,1.04636,0.97501,0.98115,0.98856,0.58057,1.13573,0.44041,0.81028,6.94e-05,6.94e-05,6.94e-05
49,2201.83,1.39616,0.58082,1.0469,0.97773,0.97771,0.98903,0.58105,1.13456,0.43379,0.81074,4.96e-05,4.96e-05,4.96e-05
50,2243.45,1.39553,0.5777,1.04676,0.97659,0.97732,0.98883,0.58398,1.1275,0.43452,0.80802,2.98e-05,2.98e-05,2.98e-05
